id,stateabb,ccode,year
257,COL,100,1950
258,COL,100,1955
259,COL,100,1960
260,COL,100,1965
261,COL,100,1970
262,COL,100,1975
263,COL,100,1980
264,COL,100,1985
265,COL,100,1990
266,COL,100,1995
267,COL,100,2000
268,COL,100,2005
269,COL,100,2010
270,VEN,101,1945
271,VEN,101,1950
272,VEN,101,1955
273,VEN,101,1960
274,VEN,101,1965
275,VEN,101,1970
276,VEN,101,1975
277,VEN,101,1980
278,VEN,101,1985
279,VEN,101,1990
280,VEN,101,1995
281,VEN,101,2000
282,VEN,101,2005
283,VEN,101,2010
284,GUY,110,1970
285,GUY,110,1975
286,GUY,110,1980
287,GUY,110,1985
288,GUY,110,1990
289,GUY,110,1995
290,GUY,110,2000
291,GUY,110,2005
292,GUY,110,2010
293,SUR,115,1975
294,SUR,115,1980
295,SUR,115,1985
296,SUR,115,1990
297,SUR,115,1995
298,SUR,115,2000
299,SUR,115,2005
300,SUR,115,2010
301,ECU,130,1945
302,ECU,130,1950
303,ECU,130,1955
304,ECU,130,1960
305,ECU,130,1965
306,ECU,130,1970
307,ECU,130,1975
308,ECU,130,1980
309,ECU,130,1985
310,ECU,130,1990
311,ECU,130,1995
312,ECU,130,2000
313,ECU,130,2005
314,ECU,130,2010
315,PER,135,1945
316,PER,135,1950
317,PER,135,1955
318,PER,135,1960
319,PER,135,1965
320,PER,135,1970
321,PER,135,1975
322,PER,135,1980
323,PER,135,1985
324,PER,135,1990
325,PER,135,1995
326,PER,135,2000
327,PER,135,2005
328,PER,135,2010
329,BRA,140,1945
330,BRA,140,1950
331,BRA,140,1955
332,BRA,140,1960
333,BRA,140,1965
334,BRA,140,1970
335,BRA,140,1975
336,BRA,140,1980
337,BRA,140,1985
338,BRA,140,1990
339,BRA,140,1995
340,BRA,140,2000
341,BRA,140,2005
342,BRA,140,2010
343,BOL,145,1945
344,BOL,145,1950
345,BOL,145,1955
346,BOL,145,1960
347,BOL,145,1965
348,BOL,145,1970
349,BOL,145,1975
350,BOL,145,1980
351,BOL,145,1985
352,BOL,145,1990
353,BOL,145,1995
354,BOL,145,2000
355,BOL,145,2005
356,BOL,145,2010
357,PAR,150,1945
358,PAR,150,1950
359,PAR,150,1955
360,PAR,150,1960
361,PAR,150,1965
362,PAR,150,1970
363,PAR,150,1975
364,PAR,150,1980
365,PAR,150,1985
366,PAR,150,1990
367,PAR,150,1995
368,PAR,150,2000
369,PAR,150,2005
370,PAR,150,2010
371,CHL,155,1945
372,CHL,155,1950
373,CHL,155,1955
374,CHL,155,1960
375,CHL,155,1965
376,CHL,155,1970
377,CHL,155,1975
378,CHL,155,1980
379,CHL,155,1985
380,CHL,155,1990
381,CHL,155,1995
382,CHL,155,2000
383,CHL,155,2005
384,CHL,155,2010
385,ARG,160,1945
386,ARG,160,1950
387,ARG,160,1955
388,ARG,160,1960
389,ARG,160,1965
390,ARG,160,1970
391,ARG,160,1975
392,ARG,160,1980
393,ARG,160,1985
394,ARG,160,1990
395,ARG,160,1995
396,ARG,160,2000
397,ARG,160,2005
398,ARG,160,2010
399,URU,165,1945
400,URU,165,1950
401,URU,165,1955
402,URU,165,1960
403,URU,165,1965
404,URU,165,1970
405,URU,165,1975
406,URU,165,1980
407,URU,165,1985
408,URU,165,1990
409,URU,165,1995
410,URU,165,2000
411,URU,165,2005
412,URU,165,2010
413,UKG,200,1945
414,UKG,200,1950
415,UKG,200,1955
416,UKG,200,1960
417,UKG,200,1965
418,UKG,200,1970
419,UKG,200,1975
420,UKG,200,1980
421,UKG,200,1985
422,UKG,200,1990
423,UKG,200,1995
424,UKG,200,2000
425,UKG,200,2005
426,UKG,200,2010
427,IRE,205,1945
428,IRE,205,1950
429,IRE,205,1955
430,IRE,205,1960
431,IRE,205,1965
432,IRE,205,1970
433,IRE,205,1975
434,IRE,205,1980
435,IRE,205,1985
436,IRE,205,1990
437,IRE,205,1995
438,IRE,205,2000
439,IRE,205,2005
440,IRE,205,2010
441,NTH,210,1955
442,NTH,210,1960
443,NTH,210,1965
444,NTH,210,1970
445,NTH,210,1975
446,NTH,210,1980
447,NTH,210,1985
448,NTH,210,1990
449,NTH,210,1995
450,NTH,210,2000
451,NTH,210,2005
452,NTH,210,2010
453,BEL,211,1945
454,BEL,211,1950
455,BEL,211,1955
456,BEL,211,1960
457,BEL,211,1965
458,BEL,211,1970
459,BEL,211,1975
460,BEL,211,1980
461,BEL,211,1985
462,BEL,211,1990
463,BEL,211,1995
464,BEL,211,2000
465,BEL,211,2005
466,BEL,211,2010
467,LUX,212,1945
468,LUX,212,1950
469,LUX,212,1955
470,LUX,212,1960
471,LUX,212,1965
472,LUX,212,1970
473,LUX,212,1975
474,LUX,212,1980
475,LUX,212,1985
476,LUX,212,1990
477,LUX,212,1995
478,LUX,212,2000
479,LUX,212,2005
480,LUX,212,2010
481,FRN,220,1945
482,FRN,220,1950
483,FRN,220,1955
484,FRN,220,1960
485,FRN,220,1965
486,FRN,220,1970
487,FRN,220,1975
488,FRN,220,1980
489,FRN,220,1985
490,FRN,220,1990
491,FRN,220,1995
492,FRN,220,2000
493,FRN,220,2005
494,FRN,220,2010
495,MNC,221,1995
496,MNC,221,2000
497,MNC,221,2005
498,MNC,221,2010
499,LIE,223,1990
500,LIE,223,1995
501,LIE,223,2000
502,LIE,223,2005
503,LIE,223,2010
504,SWZ,225,1945
505,SWZ,225,1950
506,SWZ,225,1955
507,SWZ,225,1960
508,SWZ,225,1965
509,SWZ,225,1970
510,SWZ,225,1975
511,SWZ,225,1980
512,SWZ,225,1985
513,SWZ,225,1990
514,SWZ,225,1995
515,SWZ,225,2000
516,SWZ,225,2005
517,SWZ,225,2010
518,SPN,230,1945
519,SPN,230,1950
520,SPN,230,1955
521,SPN,230,1960
522,SPN,230,1965
523,SPN,230,1970
524,SPN,230,1975
525,SPN,230,1980
526,SPN,230,1985
527,SPN,230,1990
528,SPN,230,1995
529,SPN,230,2000
530,SPN,230,2005
531,SPN,230,2010
532,AND,232,1995
533,AND,232,2000
534,AND,232,2005
535,AND,232,2010
536,POR,235,1945
537,POR,235,1950
538,POR,235,1955
539,POR,235,1960
540,POR,235,1965
541,POR,235,1970
542,POR,235,1975
543,POR,235,1980
544,POR,235,1985
545,POR,235,1990
546,POR,235,1995
547,POR,235,2000
548,POR,235,2005
549,POR,235,2010
550,GMY,255,1945
551,GMY,255,1990
552,GMY,255,1995
553,GMY,255,2000
554,GMY,255,2005
555,GMY,255,2010
556,GFR,260,1955
557,GFR,260,1960
558,GFR,260,1965
559,GFR,260,1970
560,GFR,260,1975
561,GFR,260,1980
562,GFR,260,1985
563,GFR,260,1990
564,GDR,265,1955
565,GDR,265,1960
566,GDR,265,1965
567,GDR,265,1970
568,GDR,265,1975
569,GDR,265,1980
570,GDR,265,1985
571,POL,290,1945
572,POL,290,1950
573,POL,290,1955
574,POL,290,1960
575,POL,290,1965
576,POL,290,1970
577,POL,290,1975
578,POL,290,1980
579,POL,290,1985
580,POL,290,1990
581,POL,290,1995
582,POL,290,2000
583,POL,290,2005
584,POL,290,2010
585,AUS,305,1955
586,AUS,305,1960
587,AUS,305,1965
588,AUS,305,1970
589,AUS,305,1975
590,AUS,305,1980
591,AUS,305,1985
592,AUS,305,1990
593,AUS,305,1995
594,AUS,305,2000
595,AUS,305,2005
596,AUS,305,2010
597,HUN,310,1945
598,HUN,310,1950
599,HUN,310,1955
600,HUN,310,1960
601,HUN,310,1965
602,HUN,310,1970
603,HUN,310,1975
604,HUN,310,1980
605,HUN,310,1985
606,HUN,310,1990
607,HUN,310,1995
608,HUN,310,2000
609,HUN,310,2005
610,HUN,310,2010
611,CZE,315,1945
612,CZE,315,1950
613,CZE,315,1955
614,CZE,315,1960
615,CZE,315,1965
616,CZE,315,1970
617,CZE,315,1975
618,CZE,315,1980
619,CZE,315,1985
620,CZE,315,1990
621,CZR,316,1995
622,CZR,316,2000
623,CZR,316,2005
624,CZR,316,2010
625,SLO,317,1995
626,SLO,317,2000
627,SLO,317,2005
628,SLO,317,2010
629,ITA,325,1945
630,ITA,325,1950
631,ITA,325,1955
632,ITA,325,1960
633,ITA,325,1965
634,ITA,325,1970
635,ITA,325,1975
636,ITA,325,1980
637,ITA,325,1985
638,ITA,325,1990
639,ITA,325,1995
640,ITA,325,2000
641,ITA,325,2005
642,ITA,325,2010
643,SNM,331,1995
644,SNM,331,2000
645,SNM,331,2005
646,SNM,331,2010
647,MLT,338,1965
648,MLT,338,1970
649,MLT,338,1975
650,MLT,338,1980
651,MLT,338,1985
652,MLT,338,1990
653,MLT,338,1995
654,MLT,338,2000
655,MLT,338,2005
656,MLT,338,2010
657,ALB,339,1945
658,ALB,339,1950
659,ALB,339,1955
660,ALB,339,1960
661,ALB,339,1965
662,ALB,339,1970
663,ALB,339,1975
664,ALB,339,1980
665,ALB,339,1985
666,ALB,339,1990
667,ALB,339,1995
668,ALB,339,2000
669,ALB,339,2005
670,ALB,339,2010
671,MNG,341,2010
672,MAC,343,1995
673,MAC,343,2000
674,MAC,343,2005
675,MAC,343,2010
676,CRO,344,1995
677,CRO,344,2000
678,CRO,344,2005
679,CRO,344,2010
680,YUG,345,1945
681,YUG,345,1950
682,YUG,345,1955
683,YUG,345,1960
684,YUG,345,1965
685,YUG,345,1970
686,YUG,345,1975
687,YUG,345,1980
688,YUG,345,1985
689,YUG,345,1990
690,YUG,345,1995
691,YUG,345,2000
692,YUG,345,2005
693,YUG,345,2010
694,BOS,346,1995
695,BOS,346,2000
696,BOS,346,2005
697,BOS,346,2010
698,KOS,347,2010
699,SLV,349,1995
700,SLV,349,2000
701,SLV,349,2005
702,SLV,349,2010
703,GRC,350,1945
704,GRC,350,1950
705,GRC,350,1955
706,GRC,350,1960
707,GRC,350,1965
708,GRC,350,1970
709,GRC,350,1975
710,GRC,350,1980
711,GRC,350,1985
712,GRC,350,1990
713,GRC,350,1995
714,GRC,350,2000
715,GRC,350,2005
716,GRC,350,2010
717,CYP,352,1960
